Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0," ./http_client -4 -Q hq-29 -R 50 -w 7 -r 7 -s 127.0.0.1:4443 -t -l event=debug,engine=debug -p /1.html /2.html /3.html /4.html /5.html /6.html /7.html -H 127.0.0.1 -o version=FF00001D
",client,quic_client_test_handshake_done_error0,,"ivy_return_code(1)+assumption_failed(""quic_client_test_handshake_done_error.ivy: line 509"")",/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/153/quic_client_test_handshake_done_error0.iev,0.0,0.0
1," python3 examples/http3_client.py -l /home/chris/secret.log -v -q /home/chris/qlog_aiquic/ --ca-certs tests/pycacert.pem -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_handshake_done_error0,,server_return_code(1)+timeout,/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/429/quic_client_test_handshake_done_error0.iev,0.0,0.0
2," ./http_client -4 -Q hq-29 -R 50 -w 7 -r 7 -s 127.0.0.1:4443 -t -l event=debug,engine=debug -p /1.html /2.html /3.html /4.html /5.html /6.html /7.html -H 127.0.0.1 -o version=FF00001D
",client,quic_client_test_handshake_done_error0,,"ivy_return_code(1)+assumption_failed(""quic_client_test_handshake_done_error.ivy: line 509"")",/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/116/quic_client_test_handshake_done_error0.iev,0.0,0.0
3," cargo run --manifest-path=tools/apps/Cargo.toml --bin quiche-client -- https://localhost:4443/index.html --dump-json --wire-version ff00001d --no-verify --body / -n 20
",client,quic_client_test_handshake_done_error0,,server_return_code(255)+ivy_return_code(1),/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/548/quic_client_test_handshake_done_error0.iev,0.0,0.0
4," ./client -X /home/chris/secret_test.log -P -G 5000000 -v 127.0.0.1 4443 
",client,quic_client_test_handshake_done_error0,,"ivy_return_code(1)+assumption_failed(""quic_client_test_handshake_done_error.ivy: line 509"")",/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/338/quic_client_test_handshake_done_error0.iev,0.0,0.0
5," python3 examples/http3_client.py -l /home/chris/secret.log -v -q /home/chris/qlog_aiquic/ --ca-certs tests/pycacert.pem -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_handshake_done_error0,,server_return_code(1)+timeout,/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/416/quic_client_test_handshake_done_error0.iev,0.0,0.0
6," python3 examples/http3_client.py -l /home/chris/secret.log -v -q /home/chris/qlog_aiquic/ --ca-certs tests/pycacert.pem -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_handshake_done_error0,,server_return_code(1)+timeout,/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/495/quic_client_test_handshake_done_error0.iev,0.0,0.0
7," python3 examples/http3_client.py -l /home/chris/secret.log -v -q /home/chris/qlog_aiquic/ --ca-certs tests/pycacert.pem -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_handshake_done_error0,,server_return_code(1)+timeout,/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/417/quic_client_test_handshake_done_error0.iev,0.0,0.0
8," ./http_client -4 -Q hq-29 -R 50 -w 7 -r 7 -s 127.0.0.1:4443 -t -l event=debug,engine=debug -p /1.html /2.html /3.html /4.html /5.html /6.html /7.html -H 127.0.0.1 -o version=FF00001D
",client,quic_client_test_handshake_done_error0,,"ivy_return_code(1)+assumption_failed(""quic_client_test_handshake_done_error.ivy: line 509"")",/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/162/quic_client_test_handshake_done_error0.iev,0.0,0.0
9," python3 examples/http3_client.py -l /home/chris/secret.log -v -q /home/chris/qlog_aiquic/ --ca-certs tests/pycacert.pem -i --insecure --legacy-http https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html https://localhost:4443/index.html
",client,quic_client_test_handshake_done_error0,,server_return_code(1)+timeout,/home/chris/Toward-verification-of-QUIC-extensions/installer/TVOQE/results/errors/client/local/hd-client/temp/488/quic_client_test_handshake_done_error0.iev,0.0,0.0
